113563,RIBEIRAO PRETO,SP
068403,BELEM,PA
021071,BRASÍLIA,DF
026104,TRINDADE,GO
120394,SANTA BARBARA D'OESTE,SP
093369,RIO DE JANEIRO,RJ
123810,OSASCO,SP
057992,UBERLANDIA,MG
059782,VARGINHA,MG
114496,JACAREI,SP
028662,APARECIDA DE GOIANIA,GO
123893,CAMPINAS,SP
120998,ITU,SP
083238,CURITIBA,PR
041699,JUIZ DE FORA,MG
111351,OSASCO,SP
089177,RIO DE JANEIRO,RJ
041723,BELO HORIZONTE,MG
090555,RIO DE JANEIRO,RJ
027755,GOIANIA,GO
026153,VALPARAISO DE GOIAS,GO
113720,CAMPINAS,SP
100099,CAPAO DA CANOA,RS
038620,PASSOS,MG
096552,BOA VISTA,RR
089060,CABO FRIO,RJ
094979,NATAL,RN
112904,MOGI DAS CRUZES,SP
119800,DIADEMA,SP
095315,PARNAMIRIM,RN
090340,RIO DE JANEIRO,RJ
033043,ARAXÁ,MG
112615,PRESIDENTE PRUDENTE,SP
027417,GOIANIA,GO
019307,EUSEBIO,CE
099242,PORTO ALEGRE,RS
097519,GRAMADO,RS
093708,RIO DE JANEIRO,RJ
112524,SAO BERNARDO DO CAMPO,SP
015719,FORTALEZA,CE
120220,MOJI MIRIM,SP
029553,CATALAO,GO
123745,SANTOS,SP
162743,SAO LUIS,MA
021402,GUARAPARI,ES
063677,CUIABA,MT
125963,JUNDIAI,SP
062661,DOURADOS,MS
015669,FORTALEZA,CE
129635,MARABA,PA
001735,MACEIO,AL
059865,POCOS DE CALDAS,MG
073783,RECIFE,PE
118802,SANTANA DE PARNAIBA,SP
089789,RIO DAS OSTRAS,RJ
123612,SAO VICENTE,SP
104174,CRICIUMA,SC
112631,BAURU,SP
119990,TATUI,SP
024448,VITORIA,ES
061499,UBERLANDIA,MG
074849,JABOATAO DOS GUARARAPES,PE
111393,COTIA,SP
061515,UNAI,MG
063883,LUCAS DO RIO VERDE,MT
105536,PALHOCA,SC
067298,PARAGOMINAS,PA
021022,BRASÍLIA,DF
094961,NATAL,RN
163238,PATOS DE MINAS,MG
080606,CURITIBA,PR
059899,SETE LAGOAS,MG
088666,NITEROI,RJ
111302,SAO PAULO,SP
112557,MOGI DAS CRUZES,SP
120477,ARACATUBA,SP
099234,PELOTAS,RS
093617,RIO DE JANEIRO,RJ
122564,SAO BERNARDO DO CAMPO,SP
005355,FEIRA DE SANTANA,BA
120675,UBATUBA,SP
159459,RECIFE,PE
119438,SAO PAULO,SP
093385,RIO DE JANEIRO,RJ
028480,SENADOR CANEDO,GO
024802,ANAPOLIS,GO
119776,ITATIBA,SP
020677,FORTALEZA,CE
047308,SAO JOAO DEL REI,MG
112367,SAO PAULO,SP
065599,ANANINDEUA,PA
109181,ITAPEMA,SC
113183,SAO PAULO,SP
088633,RIO DE JANEIRO,RJ
